OID2001,UID1001,MD101,3,15,13/11/2022,purchased
OID2002,UID1001,MD102,2,10,13/11/2022,cancelled
OID2003,UID1001,MD104,2,100,13/11/2022,purchased
OID2004,UID1002,MD103,3,120,15/11/2022,cancelled
OID2005,UID1002,MD105,5,250,15/11/2022,purchased
OID2006,UID1002,MD102,3,15,15/11/2022,purchased
OID2001,UID1001,MD101,3,15,13/11/2022,purchased
OID2002,UID1001,MD102,2,10,13/11/2022,cancelled
OID2003,UID1001,MD104,2,100,13/11/2022,purchased
OID2004,UID1002,MD103,3,120,15/11/2022,cancelled
OID2005,UID1002,MD105,5,250,15/11/2022,purchased
OID2006,UID1002,MD102,3,15,15/11/2022,purchased
OID2007,UID1003,MD101,5,25,17/04/2024,purchased
